DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,crime_timestamp,Year,Wildfire Event
230812426,07/23/2023 12:00:00 AM,2023-07-23,2215,8,West LA,893,1,210,ROBBERY,0416 0446 0344 0910 0443 1822 0334,24,M,O,953.0,MTA - EXPO LINE - EXPO/SEPULVEDA,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,EXPOSITION,SEPULVEDA,34.0348,-118.4365,2023-07-23 22:15:00,2023,1
231415021,07/29/2023 12:00:00 AM,2023-07-29,950,14,Pacific,1406,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300 0385,26,M,O,102.0,SIDEWALK,,,IC,Invest Cont,331.0,,,,ROSE,KEYSTONE,34.0281,-118.4129,2023-07-29 09:50:00,2023,1
232013047,07/20/2023 12:00:00 AM,2023-07-20,712,20,Olympic,2015,1,210,ROBBERY,0330 0342 0344 0354 0429 0431 0432 0448 1313 1822,28,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,3700    COUNCIL                      ST,,34.0745,-118.2929,2023-07-20 07:12:00,2023,1
231415108,07/26/2023 12:00:00 AM,2023-07-26,1500,14,Pacific,1406,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0325,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,10400    VENICE                       BL,,34.0204,-118.4039,2023-07-26 15:00:00,2023,1
230613014,07/24/2023 12:00:00 AM,2023-07-24,30,6,Hollywood,657,2,624,BATTERY - SIMPLE ASSAULT,2002 0319 0432 0446 1266 0400 1822 0416 1501,36,M,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,5500    SANTA MONICA                 BL,,34.0908,-118.3092,2023-07-24 00:30:00,2023,1
230117050,07/31/2023 12:00:00 AM,2023-07-30,1900,1,Central,156,2,860,BATTERY WITH SEXUAL CONTACT,0344 0522 2034,33,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,500    SAN JULIAN                   ST,,34.0446,-118.245,2023-07-30 19:00:00,2023,1
231513219,08/04/2023 12:00:00 AM,2023-07-26,1130,15,N Hollywood,1591,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2004,0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,12300    VENTURA                      BL,,34.1431,-118.4009,2023-07-26 11:30:00,2023,1
231610592,07/30/2023 12:00:00 AM,2023-07-30,1425,16,Foothill,1622,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 0408 0448 0400 1813,22,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,13500    FILMORE                      ST,,34.2678,-118.427,2023-07-30 14:25:00,2023,1
230214734,07/30/2023 12:00:00 AM,2023-07-30,1230,2,Rampart,275,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0913 1817,62,F,B,101.0,STREET,302.0,BLUNT INSTRUMENT,IC,Invest Cont,230.0,,,,900    BEACON                       AV,,34.0497,-118.2754,2023-07-30 12:30:00,2023,1
231513006,08/01/2023 12:00:00 AM,2023-07-31,1205,15,N Hollywood,1585,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,25,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,10900    BLUFFSIDE                    DR,,34.1412,-118.3681,2023-07-31 12:05:00,2023,1
230117095,07/31/2023 12:00:00 AM,2023-07-30,1500,1,Central,182,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0383,22,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,1000 S  GRAND                        AV,,34.043,-118.2606,2023-07-30 15:00:00,2023,1
230612742,07/19/2023 12:00:00 AM,2023-07-19,1400,6,Hollywood,627,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 1906 1501,49,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,2400 N  BEACHWOOD                    DR,,34.1133,-118.3215,2023-07-19 14:00:00,2023,1
231414719,07/24/2023 12:00:00 AM,2023-07-24,845,14,Pacific,1487,2,624,BATTERY - SIMPLE ASSAULT,0446 1822 2002 0416,20,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8900 S  SEPULVEDA                    BL,,33.9559,-118.3962,2023-07-24 08:45:00,2023,1
230913983,09/10/2023 12:00:00 AM,2023-07-28,2130,9,Van Nuys,969,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 2032,70,F,W,402.0,MARKET,,,IC,Invest Cont,341.0,,,,12900    MAGNOLIA                     BL,,34.1649,-118.4138,2023-07-28 21:30:00,2023,1
231813705,07/20/2023 12:00:00 AM,2023-07-20,1839,18,Southeast,1846,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0858 1822 1300 0605 0302 0432,22,M,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,,,,ALVARO                       ST,115TH                        ST,33.9303,-118.2532,2023-07-20 18:39:00,2023,1
231814253,07/31/2023 12:00:00 AM,2023-07-31,1645,18,Southeast,1841,1,210,ROBBERY,1822 1215 0908 0104 1300 0334 0337 0319 0344 0417,23,F,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,210.0,,,,500 W  111TH                        ST,,33.9348,-118.2826,2023-07-31 16:45:00,2023,1
231216655,07/29/2023 12:00:00 AM,2023-07-29,2145,12,77th Street,1213,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1817 0416,34,F,B,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,5500 S  WESTERN                      AV,,33.9923,-118.3089,2023-07-29 21:45:00,2023,1
231911974,07/22/2023 12:00:00 AM,2023-07-22,2140,19,Mission,1984,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0371 0411 0906 0416 0417 0342,15,M,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,230.0,,,,14800    RAYEN                        ST,,34.2318,-118.4553,2023-07-22 21:40:00,2023,1
230813141,07/30/2023 12:00:00 AM,2023-07-27,2030,8,West LA,852,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 1822,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,11800    SANTA MONICA                 BL,,34.0428,-118.4582,2023-07-27 20:30:00,2023,1
231713372,07/24/2023 12:00:00 AM,2023-07-24,1440,17,Devonshire,1797,2,624,BATTERY - SIMPLE ASSAULT,0416 0419 1300 1822 1259 1251,16,F,H,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,16200    PARTHENIA                    ST,,34.2284,-118.4851,2023-07-24 14:40:00,2023,1
230712347,07/22/2023 12:00:00 AM,2023-07-20,1847,7,Wilshire,775,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,42,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,4600 W  18TH                         ST,,34.0414,-118.3392,2023-07-20 18:47:00,2023,1
230714144,09/02/2023 12:00:00 AM,2023-08-01,1100,7,Wilshire,711,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,0,X,X,201.0,JEWELRY STORE,,,IC,Invest Cont,440.0,,,,FAIRFAX                      AV,OAKWOOD                      AV,34.0782,-118.3615,2023-08-01 11:00:00,2023,1
231813936,07/25/2023 12:00:00 AM,2023-07-23,1700,18,Southeast,1839,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,2300    SANTA ANA                    BL,,33.9351,-118.2318,2023-07-23 17:00:00,2023,1
230410781,07/27/2023 12:00:00 AM,2023-07-26,1700,4,Hollenbeck,469,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3500 E  5TH                          ST,,34.0305,-118.1937,2023-07-26 17:00:00,2023,1
230117067,07/31/2023 12:00:00 AM,2023-07-31,1700,1,Central,118,2,354,THEFT OF IDENTITY,1501,27,M,K,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1100 N  MAIN                         ST,,34.0633,-118.2336,2023-07-31 17:00:00,2023,1
231314305,07/21/2023 12:00:00 AM,2023-07-20,2000,13,Newton,1307,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,700 S  SAN PEDRO                    ST,,34.0407,-118.2468,2023-07-20 20:00:00,2023,1
230912149,07/24/2023 12:00:00 AM,2023-07-24,345,9,Van Nuys,915,1,320,"BURGLARY, ATTEMPTED",0329 1420 1414 0358 0351 1402 1607,0,X,X,244.0,TOBACCO SHOP,,,IC,Invest Cont,320.0,998.0,,,14100    SHERMAN                      WY,,34.2012,-118.44,2023-07-24 03:45:00,2023,1
231610379,07/23/2023 12:00:00 AM,2023-07-23,1350,16,Foothill,1676,2,624,BATTERY - SIMPLE ASSAULT,1202 0416 0913,61,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8600    GLENOAKS                     BL,,34.2262,-118.363,2023-07-23 13:50:00,2023,1
231216794,07/24/2023 12:00:00 AM,2023-07-21,1930,12,77th Street,1245,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,30,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,6600 S  NORMANDIE                    AV,,33.9791,-118.3003,2023-07-21 19:30:00,2023,1
230511422,07/23/2023 12:00:00 AM,2023-07-22,2000,5,Harbor,516,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1402 0344 0379 1607 0321,0,X,X,218.0,BEAUTY/BARBER SHOP,,,IC,Invest Cont,740.0,998.0,,,1100 N  AVALON                       BL,,33.7868,-118.2658,2023-07-22 20:00:00,2023,1
231011840,07/28/2023 12:00:00 AM,2023-07-28,1300,10,West Valley,1027,2,624,BATTERY - SIMPLE ASSAULT,0446 1300 0429 0400 0416 1822 0919,38,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7100    BALBOA                       BL,,34.1995,-118.5011,2023-07-28 13:00:00,2023,1
231011863,07/28/2023 12:00:00 AM,2023-07-28,2139,10,West Valley,1078,1,310,BURGLARY,1202 0339 0351 0358 1609 0344 1822,65,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,16700    OTSEGO                       ST,,34.1641,-118.4986,2023-07-28 21:39:00,2023,1
232112290,07/30/2023 12:00:00 AM,2023-07-29,1730,21,Topanga,2157,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 1813 2000,52,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,6500    INDEPENDENCE                 AV,,34.1889,-118.5905,2023-07-29 17:30:00,2023,1
230915838,10/31/2023 12:00:00 AM,2023-08-01,800,9,Van Nuys,974,2,354,THEFT OF IDENTITY,0930 1822,73,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,14800    MOORPARK                     ST,,34.1536,-118.4563,2023-08-01 08:00:00,2023,1
230812560,07/26/2023 12:00:00 AM,2023-07-26,2325,8,West LA,882,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 2004 1218 0913 1817,28,F,B,101.0,STREET,312.0,PIPE/METAL PIPE,AO,Adult Other,230.0,,,,SAWTELLE,PICO,34.0352,-118.4387,2023-07-26 23:25:00,2023,1
231111688,07/31/2023 12:00:00 AM,2023-07-30,1240,11,Northeast,1151,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,4600    BRAZIL                       ST,,34.0986,-118.2962,2023-07-30 12:40:00,2023,1
230214412,07/24/2023 12:00:00 AM,2023-07-24,125,2,Rampart,215,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 1822 0309 0371 0450 0906,40,F,H,101.0,STREET,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,,,,400 N  RAMPART                      BL,,34.0738,-118.2741,2023-07-24 01:25:00,2023,1
230116751,07/26/2023 12:00:00 AM,2023-07-26,1400,1,Central,128,2,888,TRESPASSING,0910 2004,0,X,X,101.0,STREET,,,IC,Invest Cont,888.0,,,,400 E  1ST                          ST,,34.0492,-118.2391,2023-07-26 14:00:00,2023,1
231513395,08/10/2023 12:00:00 AM,2023-07-22,1630,15,N Hollywood,1557,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,5000    VINELAND                     AV,,34.1613,-118.3703,2023-07-22 16:30:00,2023,1
230214713,07/29/2023 12:00:00 AM,2023-07-23,1050,2,Rampart,245,1,121,"RAPE, FORCIBLE",0400 0913 0503,34,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,,,,500 S  PARK VIEW                    ST,,34.0627,-118.2774,2023-07-23 10:50:00,2023,1
230313938,07/21/2023 12:00:00 AM,2023-07-21,500,3,Southwest,359,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1251 1218,38,M,O,101.0,STREET,,,IC,Invest Cont,440.0,,,,3500 S  FIGUEROA                     ST,,34.0201,-118.2812,2023-07-21 05:00:00,2023,1
230117142,08/01/2023 12:00:00 AM,2023-08-01,1550,1,Central,159,1,330,BURGLARY FROM VEHICLE,0329 1609 1307,28,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,MATEO                        ST,PALMETTO                     ST,34.0404,-118.233,2023-08-01 15:50:00,2023,1
231314488,07/24/2023 12:00:00 AM,2023-07-23,1430,13,Newton,1317,2,624,BATTERY - SIMPLE ASSAULT,0444 0913,30,F,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1800 S  CENTRAL                      AV,,34.0252,-118.2499,2023-07-23 14:30:00,2023,1
231512657,07/22/2023 12:00:00 AM,2023-07-22,1511,15,N Hollywood,1503,1,480,BIKE - STOLEN,0397 0344,17,M,H,717.0,HEALTH SPA/GYM,,,IC,Invest Cont,480.0,,,,LAUREL CANYON,ARCHWOOD,34.1921,-118.3965,2023-07-22 15:11:00,2023,1
232015894,09/23/2023 12:00:00 AM,2023-07-29,1200,20,Olympic,2044,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1813 1243 0400 0444 0429 0913,25,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,900    IROLO                        ST,,34.0559,-118.3009,2023-07-29 12:00:00,2023,1
231512623,07/21/2023 12:00:00 AM,2023-07-20,15,15,N Hollywood,1501,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,25,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,SATICOY                      ST,ATOLL                        AV,34.2079,-118.421,2023-07-20 00:15:00,2023,1
230410591,07/20/2023 12:00:00 AM,2023-07-20,1630,4,Hollenbeck,421,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 1822,32,M,H,203.0,OTHER BUSINESS,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,2100 N  BROADWAY,,34.0732,-118.2189,2023-07-20 16:30:00,2023,1
232111943,07/23/2023 12:00:00 AM,2023-07-23,1120,21,Topanga,2139,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0319 2000 1813 0416,52,M,H,217.0,AUTO REPAIR SHOP,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,20100    SATICOY                      ST,,34.2084,-118.571,2023-07-23 11:20:00,2023,1
230511852,08/02/2023 12:00:00 AM,2023-08-02,2300,5,Harbor,519,2,624,BATTERY - SIMPLE ASSAULT,1202 1309 1822 0416 1266,60,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,900 E  COLON                        ST,,33.7915,-118.2516,2023-08-02 23:00:00,2023,1
230410583,07/20/2023 12:00:00 AM,2023-07-20,1515,4,Hollenbeck,466,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1309 0325,0,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,2600 E  CESAR E CHAVEZ               AV,,34.0454,-118.2048,2023-07-20 15:15:00,2023,1
232013526,07/31/2023 12:00:00 AM,2023-07-31,1600,20,Olympic,2081,2,624,BATTERY - SIMPLE ASSAULT,0416 0342 0305 0913 0446 0448 0429 0432 0906,21,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,WASHINGTON,GRAMERCY,34.0399,-118.313,2023-07-31 16:00:00,2023,1
231512543,07/23/2023 12:00:00 AM,2023-07-21,1945,15,N Hollywood,1543,2,647,THROWING OBJECT AT MOVING VEHICLE,1300 1309 0447 1310,19,M,W,101.0,STREET,306.0,ROCK/THROWN OBJECT,IC,Invest Cont,647.0,,,,LAUREL CANYON,CHANDLER,34.1684,-118.3965,2023-07-21 19:45:00,2023,1
231713523,08/03/2023 12:00:00 AM,2023-08-02,1255,17,Devonshire,1761,2,354,THEFT OF IDENTITY,0928 1822,28,X,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,9600    HANNA                        AV,,34.2448,-118.6078,2023-08-02 12:55:00,2023,1
230613242,07/30/2023 12:00:00 AM,2023-07-27,800,6,Hollywood,637,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,42,M,W,503.0,HOTEL,,,IC,Invest Cont,440.0,,,,ARGYLE,YUCCA,34.1037,-118.3252,2023-07-27 08:00:00,2023,1
231217299,08/05/2023 12:00:00 AM,2023-07-31,1550,12,77th Street,1208,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,25,F,B,145.0,MAIL BOX,,,IC,Invest Cont,440.0,,,,W  52ND                         ST,S  HOOVER                       ST,33.9957,-118.2872,2023-07-31 15:50:00,2023,1
230116963,07/29/2023 12:00:00 AM,2023-07-29,100,1,Central,134,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,29,F,H,207.0,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,341.0,,,,300 S  HILL                         ST,,34.0516,-118.2491,2023-07-29 01:00:00,2023,1
231814267,07/29/2023 12:00:00 AM,2023-07-29,230,18,Southeast,1829,2,624,BATTERY - SIMPLE ASSAULT,2000 0913 1814 0416,24,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2100 E  103RD                        ST,,33.9456,-118.2323,2023-07-29 02:30:00,2023,1
230912095,07/23/2023 12:00:00 AM,2023-07-21,2300,9,Van Nuys,914,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,45,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,15200    SHERMAN                      WY,,34.2011,-118.4641,2023-07-21 23:00:00,2023,1
230812784,08/03/2023 12:00:00 AM,2023-08-02,1800,8,West LA,884,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,2300    WESTWOOD                     BL,,34.0424,-118.4305,2023-08-02 18:00:00,2023,1
